起始时刻,结束时刻,原始开始索引,原始结束索引,运行时间,加速时间,减速时间,怠速时间,匀速时间,运行距离,最大速度,平均速度,行驶速度,速度标准偏差,最大加速度,加速度段平均加速度,最小减速度,减速段平均减速度,加速度标准偏差,怠速时间比,加速时间比,匀速时间比,减速时间比
2017-12-18 13:42:13,2017-12-18 13:43:21,0,68,69,26,19,8,16,131.8741,17.4,6.918840579710144,7.956666666666666,5.273833167918279,1.25,0.42520769230769234,-1.8611,-0.581878947368421,0.24251976731487587,0.11594202898550725,0.37681159420289856,0.2318840579710145,0.2753623188405797
2017-12-18 13:43:21,2017-12-18 13:49:30,68,437,370,111,86,97,76,2729.8356,56.5,26.113783783783784,35.522426470588236,18.49912176211033,1.0833,0.38213333333333327,-2.1944,-0.4941779069767442,0.22759362602248023,0.26216216216216215,0.3,0.20540540540540542,0.23243243243243245
2017-12-18 13:49:30,2017-12-18 13:51:29,437,556,120,48,35,24,13,699.4778,45.2,20.258333333333333,25.58947368421053,14.2523981961541,1.1944,0.4438645833333334,-2.2222,-0.6198342857142858,0.273211088595865,0.2,0.4,0.10833333333333334,0.2916666666666667
2017-12-18 13:51:29,2017-12-18 13:55:07,556,774,219,61,41,73,44,1677.3246,55.0,27.186301369863013,41.06068965517241,22.823852695233416,1.6944,0.3784163934426229,-1.8333,-0.5677463414634146,0.27041617751182956,0.3333333333333333,0.2785388127853881,0.2009132420091324,0.1872146118721461
2017-12-18 13:55:07,2017-12-18 13:57:57,774,944,171,51,36,34,50,1889.7254,68.7,39.05029239766082,49.1,25.748574773279728,2.2222,0.47221568627450977,-2.3056,-0.6736055555555557,0.39724932391260226,0.19883040935672514,0.2982456140350877,0.29239766081871343,0.21052631578947367
2017-12-18 13:57:57,2017-12-18 14:01:37,944,1164,221,92,54,40,35,1833.5215,65.5,29.793665158371038,36.58,19.991917813686353,1.4722,0.42270869565217395,-3.1944,-0.7227388888888889,0.27427007811230614,0.18099547511312217,0.416289592760181,0.1583710407239819,0.24434389140271492
2017-12-18 14:01:37,2017-12-18 14:10:00,1164,1598,435,186,104,53,92,6127.3886,81.5,45.565747126436776,52.02388451443569,23.579993259155234,1.1389,0.38904086021505374,-2.75,-0.5723798076923077,0.23379192214864639,0.12183908045977011,0.42758620689655175,0.21149425287356322,0.23908045977011494
2017-12-18 14:10:00,2017-12-18 14:15:34,1598,1887,290,130,80,39,41,3427.9725,65.9,35.6848275862069,41.22948207171314,20.67781128959146,1.2222,0.42627692307692305,-2.9167,-0.75243375,0.22518434706036247,0.13448275862068965,0.4482758620689655,0.1413793103448276,0.27586206896551724
2017-12-18 14:15:34,2017-12-18 14:18:51,1887,2082,196,80,44,46,26,1616.2013,60.9,29.10408163265306,38.28456375838926,20.79186684366231,3.4722,0.46666500000000005,-2.25,-0.8775204545454546,0.4154176562680509,0.23469387755102042,0.40816326530612246,0.1326530612244898,0.22448979591836735
2017-12-18 14:19:09,2017-12-18 14:20:53,2100,2204,105,35,25,35,10,354.6083,32.4,11.855238095238096,18.04057971014493,11.576509545630465,0.9167,0.45000285714285715,-2.3611,-0.62778,0.2272614204542662,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.23809523809523808
