起始时刻,结束时刻,记录数,原始开始索引,原始结束索引,总秒数,怠速秒数,加速秒数,匀速秒数,减速秒数
2017-12-18 13:42:13,2017-12-18 13:43:21,69,0,68,69,8,26,16,19
2017-12-18 13:43:21,2017-12-18 13:49:30,370,68,437,370,97,111,76,86
2017-12-18 13:49:30,2017-12-18 13:51:29,120,437,556,120,24,48,13,35
2017-12-18 13:51:29,2017-12-18 13:55:07,219,556,774,219,73,61,44,41
2017-12-18 13:55:07,2017-12-18 13:57:57,171,774,944,171,34,51,50,36
2017-12-18 13:57:57,2017-12-18 14:01:37,221,944,1164,221,40,92,35,54
2017-12-18 14:01:37,2017-12-18 14:10:00,435,1164,1598,435,53,186,92,104
2017-12-18 14:10:00,2017-12-18 14:15:34,290,1598,1887,290,39,130,41,80
2017-12-18 14:15:34,2017-12-18 14:18:51,196,1887,2082,196,46,80,26,44
2017-12-18 14:19:09,2017-12-18 14:20:53,105,2100,2204,105,35,35,10,25
2017-12-18 14:20:53,2017-12-18 14:23:30,158,2204,2361,158,48,53,16,41
2017-12-18 14:23:30,2017-12-18 14:24:36,67,2361,2427,67,4,31,9,23
2017-12-18 14:24:36,2017-12-18 14:28:05,208,2427,2634,208,39,79,29,61
2017-12-18 14:28:05,2017-12-18 14:29:16,72,2634,2705,72,13,23,11,25
2017-12-18 14:29:16,2017-12-18 14:29:37,22,2705,2726,22,7,8,1,6
2017-12-18 14:29:37,2017-12-18 14:31:21,105,2726,2830,105,25,32,15,33
2017-12-18 14:31:21,2017-12-18 14:32:00,40,2830,2869,40,27,2,6,5
2017-12-18 14:32:37,2017-12-18 14:33:17,41,2906,2946,41,11,11,8,11
2017-12-18 14:33:21,2017-12-18 14:34:13,53,2950,3002,53,5,19,15,14
2017-12-18 14:34:56,2017-12-18 14:35:55,60,3045,3104,60,3,24,13,20
2017-12-18 14:35:55,2017-12-18 14:37:22,88,3104,3191,88,10,25,17,36
2017-12-18 14:38:11,2017-12-18 14:41:54,224,3240,3463,224,11,90,41,82
2017-12-18 14:41:54,2017-12-18 14:43:32,99,3463,3561,99,33,28,17,21
2017-12-18 14:43:32,2017-12-18 14:45:19,108,3561,3668,108,44,30,15,19
2017-12-18 14:45:19,2017-12-18 14:47:00,102,3668,3769,102,43,29,13,17
2017-12-18 14:47:00,2017-12-18 14:47:49,50,3769,3818,50,26,9,3,12
2017-12-18 14:47:49,2017-12-18 14:50:52,184,3818,4001,184,77,49,25,33
2017-12-18 14:51:03,2017-12-18 14:52:55,113,4012,4124,113,15,45,18,35
2017-12-18 15:00:26,2017-12-18 15:02:10,105,4268,4372,105,25,39,16,25
2017-12-18 15:02:10,2017-12-18 15:05:50,221,4372,4592,221,9,93,42,77
2017-12-18 15:05:50,2017-12-18 15:07:33,104,4592,4695,104,40,26,16,22
2017-12-18 15:07:33,2017-12-18 15:08:10,38,4695,4732,38,17,6,7,8
2017-12-18 15:08:10,2017-12-18 15:09:20,71,4732,4802,71,20,24,9,18
2017-12-18 15:09:20,2017-12-18 15:10:00,41,4802,4842,41,30,3,1,7
2017-12-18 15:10:00,2017-12-18 15:10:35,36,4842,4877,36,7,12,8,9
2017-12-18 15:10:35,2017-12-18 15:11:32,58,4877,4934,58,6,18,15,19
2017-12-18 15:11:32,2017-12-18 15:12:02,31,4934,4964,31,13,6,3,9
2017-12-18 15:12:02,2017-12-18 15:12:27,26,4964,4989,26,13,7,3,3
2017-12-18 15:12:27,2017-12-18 15:13:00,34,4989,5022,34,11,13,4,6
2017-12-18 15:39:01,2017-12-18 15:40:47,107,5048,5154,107,50,24,10,23
2017-12-18 15:40:47,2017-12-18 15:43:43,175,5154,5328,175,44,57,30,44
2017-12-18 15:43:43,2017-12-18 15:45:02,78,5328,5405,78,22,19,26,11
