起始时刻,结束时刻,记录数,原始开始索引,原始结束索引,总秒数,怠速秒数,加速秒数,匀速秒数,减速秒数
2017-11-01 19:44:34,2017-11-01 19:47:03,150,639,788,150,111,17,6,16
2017-11-01 19:47:24,2017-11-01 19:47:46,23,809,831,23,4,9,3,7
2017-11-01 19:57:55,2017-11-01 20:01:44,230,1126,1355,230,58,60,46,66
2017-11-02 10:28:30,2017-11-02 10:50:23,1142,1622,2763,1142,180,329,353,280
2017-11-02 10:50:23,2017-11-02 10:51:01,39,2763,2801,39,24,8,3,4
2017-11-02 11:27:28,2017-11-02 11:31:36,140,3382,3521,140,1,47,24,68
2017-11-02 11:31:52,2017-11-02 11:32:41,46,3535,3580,46,7,20,7,12
2017-11-02 11:35:20,2017-11-02 11:35:45,26,3732,3757,26,18,2,4,2
2017-11-02 11:35:45,2017-11-02 11:44:03,403,3757,4159,403,59,132,96,116
2017-11-02 11:44:03,2017-11-02 11:47:14,192,4159,4350,192,3,81,29,79
2017-11-02 11:47:14,2017-11-02 11:53:05,317,4350,4666,317,6,136,111,64
2017-11-02 11:53:37,2017-11-02 11:54:58,82,4698,4779,82,6,45,14,17
2017-11-02 12:12:47,2017-11-02 12:16:45,239,5031,5269,239,15,86,72,66
2017-11-02 12:16:45,2017-11-02 12:27:20,464,5269,5732,464,9,179,145,131
2017-11-02 14:11:06,2017-11-02 14:12:14,69,6409,6477,69,6,29,13,21
2017-11-02 14:12:14,2017-11-02 14:26:01,826,6477,7302,826,90,285,222,229
2017-11-02 14:26:01,2017-11-02 14:36:03,603,7302,7904,603,17,244,159,183
2017-11-02 14:39:28,2017-11-02 14:40:15,48,8109,8156,48,28,5,8,7
2017-11-02 14:40:15,2017-11-02 14:48:50,516,8156,8671,516,28,161,162,165
2017-11-02 15:15:09,2017-11-02 15:20:41,221,9172,9392,221,13,105,27,76
2017-11-02 15:20:41,2017-11-02 15:21:03,23,9392,9414,23,18,2,1,2
2017-11-02 15:21:16,2017-11-02 15:21:40,25,9427,9451,25,3,6,9,7
2017-11-02 15:21:53,2017-11-02 15:23:25,93,9464,9556,93,3,25,32,33
2017-11-02 17:42:21,2017-11-02 17:43:25,23,10047,10069,23,8,5,3,7
2017-11-02 17:43:31,2017-11-02 17:43:57,27,10075,10101,27,6,8,6,7
